사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2020010200100281,2020년 1월 2일 15시,목요일,경기도 군포시 당동,경상사고,0,0,2,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,34세,상해없음,보행자,여,35세,경상
2020010200100283,2020년 1월 2일 15시,목요일,경기도 안양시 만안구 석수동,경상사고,0,0,4,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,32세,상해없음,승용,여,36세,경상
2020010200100398,2020년 1월 2일 18시,목요일,경기도 용인시 처인구 고림동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,8세,경상,기타불명,기타불명,미분류,기타불명
2020010300100108,2020년 1월 3일 08시,금요일,경기도 남양주시 다산동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,53세,상해없음,보행자,남,8세,중상
2020010300100173,2020년 1월 3일 11시,금요일,경기도 수원시 권선구 평동,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,교차로 - 교차로안,화물,남,40세,상해없음,승용,여,39세,경상
2020010300100198,2020년 1월 3일 11시,금요일,경기도 고양시 일산동구 백석동,중상사고,0,2,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,50세,상해없음,승용,여,40세,경상
2020010300100310,2020년 1월 3일 15시,금요일,경기도 광명시 하안동,부상신고사고,0,0,0,1,차대사람 - 보도통행중,기타,건조,맑음,교차로 - 교차로부근,자전거,남,76세,기타불명,보행자,남,4세,부상신고
2020010300100312,2020년 1월 3일 15시,금요일,경기도 성남시 중원구 도촌동,부상신고사고,0,0,0,1,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,47세,상해없음,자전거,남,9세,부상신고
2020010300100313,2020년 1월 3일 15시,금요일,경기도 화성시 향남읍,경상사고,0,0,3,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로부근,승용,여,46세,경상,승용,여,40세,경상
2020010300100411,2020년 1월 3일 17시,금요일,경기도 파주시 야동동,중상사고,0,1,2,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승합,남,70세,상해없음,승용,남,48세,경상
2020010300100478,2020년 1월 3일 19시,금요일,경기도 수원시 장안구 조원동,경상사고,0,0,2,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,43세,상해없음,승용,여,44세,경상
2020010400100128,2020년 1월 4일 09시,토요일,경기도 성남시 분당구 야탑동,경상사고,0,0,2,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,화물,남,47세,상해없음,승용,여,67세,경상
2020010400100150,2020년 1월 4일 10시,토요일,경기도 성남시 중원구 금광동,경상사고,0,0,3,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로부근,승용,남,66세,상해없음,승용,여,27세,경상
2020010400100154,2020년 1월 4일 10시,토요일,경기도 화성시 반송동,경상사고,0,0,6,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,28세,상해없음,승용,여,30세,경상
2020010400100388,2020년 1월 4일 18시,토요일,경기도 수원시 권선구 권선동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,57세,상해없음,보행자,남,9세,중상
2020010400100420,2020년 1월 4일 19시,토요일,경기도 화성시 산척동,경상사고,0,0,2,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,72세,상해없음,승용,남,39세,경상
2020010400100459,2020년 1월 4일 20시,토요일,경기도 고양시 일산서구 대화동,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 기타,승용,여,47세,상해없음,승용,여,35세,경상
2020010400100498,2020년 1월 4일 22시,토요일,경기도 수원시 장안구 정자동,경상사고,0,0,3,2,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,28세,상해없음,승용,여,49세,경상
2020010500100131,2020년 1월 5일 11시,일요일,경기도 화성시 팔탄면,경상사고,0,0,4,0,차대차 - 추돌,과속,건조,맑음,단일로 - 기타,승용,남,22세,상해없음,승용,여,43세,경상
2020010500100156,2020년 1월 5일 12시,일요일,경기도 용인시 기흥구 청덕동,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,48세,상해없음,보행자,남,12세,부상신고
2020010500100218,2020년 1월 5일 14시,일요일,경기도 과천시 중앙동,중상사고,0,3,4,3,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,57세,상해없음,승합,남,62세,경상
2020010500100246,2020년 1월 5일 15시,일요일,경기도 용인시 기흥구 하갈동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,64세,상해없음,화물,남,58세,상해없음
2020010500100269,2020년 1월 5일 16시,일요일,경기도 평택시 서정동,경상사고,0,0,4,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,65세,상해없음,승용,여,32세,경상
2020010500100271,2020년 1월 5일 16시,일요일,경기도 의왕시 왕곡동,중상사고,0,2,2,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,34세,상해없음,승용,남,39세,중상
2020010500100354,2020년 1월 5일 19시,일요일,경기도 화성시 안녕동,사망사고,1,1,3,0,차대차 - 추돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,65세,사망,승용,남,36세,경상
2020010500100365,2020년 1월 5일 19시,일요일,경기도 남양주시 호평동,경상사고,0,0,3,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,54세,경상,승용,여,38세,경상
2020010500100392,2020년 1월 5일 21시,일요일,경기도 광명시 광명동,부상신고사고,0,0,0,2,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,52세,상해없음,승합,남,56세,상해없음
2020010600100031,2020년 1월 6일 06시,월요일,경기도 시흥시 정왕동,경상사고,0,0,4,2,차대차 - 측면충돌,차로위반,젖음/습기,비,교차로 - 교차로안,승용,여,61세,상해없음,승용,남,38세,경상
2020010600100091,2020년 1월 6일 08시,월요일,경기도 부천시 춘의동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,51세,상해없음,보행자,남,12세,경상
2020010600100128,2020년 1월 6일 09시,월요일,경기도 수원시 권선구 구운동,부상신고사고,0,0,0,5,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,36세,부상신고,승용,남,67세,부상신고
2020010600100152,2020년 1월 6일 10시,월요일,경기도 광명시 소하동,경상사고,0,0,3,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,70세,상해없음,승용,남,34세,경상
2020010600100176,2020년 1월 6일 11시,월요일,경기도 부천시 상동,중상사고,0,1,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,55세,상해없음,승용,남,38세,중상
2020010600100269,2020년 1월 6일 14시,월요일,경기도 용인시 기흥구 중동,경상사고,0,0,3,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,교차로 - 교차로안,승용,여,39세,경상,승용,여,45세,경상
2020010600100299,2020년 1월 6일 15시,월요일,경기도 안산시 단원구 대부동동,경상사고,0,0,4,0,차대차 - 기타,신호위반,젖음/습기,비,교차로 - 교차로안,승용,여,61세,상해없음,승용,여,47세,경상
2020010600100334,2020년 1월 6일 16시,월요일,경기도 수원시 권선구 탑동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,67세,상해없음,승용,남,41세,경상
2020010600100372,2020년 1월 6일 17시,월요일,경기도 양평군 강상면,경상사고,0,0,1,1,차대차 - 추돌,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,여,26세,상해없음,승용,여,61세,경상
2020010600100449,2020년 1월 6일 18시,월요일,경기도 광명시 소하동,부상신고사고,0,0,0,2,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,35세,상해없음,승용,여,39세,부상신고
2020010600100543,2020년 1월 6일 19시,월요일,경기도 고양시 일산동구 중산동,경상사고,0,0,1,0,차대사람 - 횡단중,중앙선침범,건조,맑음,단일로 - 기타,화물,남,31세,상해없음,보행자,여,9세,경상
2020010700100045,2020년 1월 7일 04시,화요일,경기도 시흥시 거모동,경상사고,0,0,9,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,59세,경상,화물,남,62세,경상
2020010700100340,2020년 1월 7일 15시,화요일,경기도 시흥시 은행동,중상사고,0,1,0,0,차대사람 - 기타,기타,건조,맑음,단일로 - 기타,승용,여,74세,상해없음,보행자,여,12세,중상
2020010700100349,2020년 1월 7일 15시,화요일,경기도 의정부시 용현동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,69세,상해없음,보행자,남,7세,경상
2020010700100405,2020년 1월 7일 17시,화요일,경기도 김포시 통진읍,중상사고,0,1,3,0,차대차 - 측면충돌,직진우회전진행방해,젖음/습기,비,교차로 - 교차로안,승합,여,61세,중상,화물,남,57세,상해없음
2020010700100535,2020년 1월 7일 19시,화요일,경기도 안성시 공도읍,경상사고,0,0,4,0,차대차 - 측면충돌,신호위반,젖음/습기,비,교차로 - 교차로안,승용,여,67세,경상,승용,여,38세,경상
2020010700100537,2020년 1월 7일 19시,화요일,경기도 이천시 안흥동,경상사고,0,0,2,0,차대사람 - 횡단중,보행자보호의무위반,젖음/습기,비,교차로 - 교차로횡단보도내,승용,여,41세,상해없음,보행자,남,74세,경상
2020010700100656,2020년 1월 7일 21시,화요일,경기도 평택시 장당동,부상신고사고,0,0,0,3,차대차 - 측면충돌,직진우회전진행방해,젖음/습기,비,교차로 - 교차로안,승용,여,37세,상해없음,이륜,남,19세,부상신고
2020010800100006,2020년 1월 8일 00시,수요일,경기도 성남시 중원구 하대원동,중상사고,0,1,9,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,58세,기타불명,승용,남,53세,중상
2020010800100246,2020년 1월 8일 11시,수요일,경기도 남양주시 금곡동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,59세,상해없음,보행자,남,7세,경상
2020010800100255,2020년 1월 8일 12시,수요일,경기도 과천시 원문동,중상사고,0,1,1,0,차대차 - 측면충돌,안전운전불이행,건조,흐림,교차로 - 교차로부근,승용,여,35세,중상,화물,남,72세,상해없음
2020010800100337,2020년 1월 8일 14시,수요일,경기도 연천군 연천읍,중상사고,0,3,2,0,차대차 - 정면충돌,안전운전불이행,건조,맑음,단일로 - 교량,승용,여,64세,상해없음,승용,여,53세,중상
2020010800100401,2020년 1월 8일 17시,수요일,경기도 안산시 단원구 선부동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로안,승용,남,56세,상해없음,보행자,남,12세,중상
2020010800100407,2020년 1월 8일 17시,수요일,경기도 용인시 수지구 죽전동,중상사고,0,1,0,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,여,48세,상해없음,보행자,여,10세,중상
2020010800100501,2020년 1월 8일 19시,수요일,경기도 화성시 우정읍,경상사고,0,0,3,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,33세,경상,승용,남,60세,경상
2020010800100526,2020년 1월 8일 20시,수요일,경기도 하남시 신장동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,44세,상해없음,승용,남,44세,경상
2020010900100238,2020년 1월 9일 13시,목요일,경기도 의정부시 신곡동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,48세,상해없음,보행자,여,11세,경상
2020010900100288,2020년 1월 9일 15시,목요일,경기도 안산시 단원구 원곡동,경상사고,0,0,1,1,차대차 - 정면충돌,중앙선침범,건조,맑음,교차로 - 교차로횡단보도내,승용,남,34세,상해없음,승용,여,34세,경상
2020010900100324,2020년 1월 9일 16시,목요일,경기도 안산시 상록구 본오동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,61세,상해없음,보행자,남,7세,경상
2020010900100441,2020년 1월 9일 18시,목요일,경기도 구리시 갈매동,중상사고,0,1,1,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,39세,상해없음,승용,여,39세,경상
2020010900100473,2020년 1월 9일 19시,목요일,경기도 구리시 인창동,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,건조,맑음,기타 - 기타,자전거,남,12세,경상,승용,여,57세,상해없음
2020011000100103,2020년 1월 10일 08시,금요일,경기도 성남시 중원구 상대원동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,단일로 - 기타,화물,남,65세,상해없음,보행자,남,10세,경상
2020011000100179,2020년 1월 10일 10시,금요일,경기도 수원시 권선구 호매실동,경상사고,0,0,2,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,자전거,남,12세,경상,보행자,여,65세,경상
2020011000100345,2020년 1월 10일 15시,금요일,경기도 부천시 중동,중상사고,0,1,1,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,28세,상해없음,승용,남,37세,경상
2020011000100410,2020년 1월 10일 17시,금요일,경기도 여주시 가업동,경상사고,0,0,4,0,차대차 - 측면충돌,과속,건조,맑음,교차로 - 교차로안,승용,남,65세,경상,승용,남,47세,경상
2020011100100179,2020년 1월 11일 11시,토요일,경기도 화성시 남양읍,경상사고,0,0,1,2,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,23세,상해없음,승용,여,37세,경상
2020011100100277,2020년 1월 11일 13시,토요일,경기도 포천시 영북면,경상사고,0,0,2,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,55세,상해없음,승용,남,39세,경상
2020011100100380,2020년 1월 11일 17시,토요일,경기도 성남시 분당구 금곡동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,기타 - 기타,건설기계,남,55세,상해없음,승용,여,40세,경상
2020011100100384,2020년 1월 11일 17시,토요일,경기도 의정부시 장암동,경상사고,0,0,2,2,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,68세,부상신고,승용,남,41세,경상
2020011200100211,2020년 1월 12일 15시,일요일,경기도 성남시 수정구 창곡동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,25세,상해없음,자전거,남,11세,경상
2020011200100213,2020년 1월 12일 15시,일요일,경기도 부천시 중동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,62세,상해없음,자전거,남,12세,경상
2020011200100233,2020년 1월 12일 16시,일요일,경기도 김포시 장기동,경상사고,0,0,4,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,44세,상해없음,승용,남,42세,경상
2020011200100336,2020년 1월 12일 20시,일요일,경기도 부천시 중동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,32세,상해없음,보행자,여,5세,부상신고
2020011300100253,2020년 1월 13일 14시,월요일,경기도 오산시 원동,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,건조,맑음,단일로 - 기타,원동기,남,31세,상해없음,보행자,여,12세,경상
2020011300100341,2020년 1월 13일 16시,월요일,경기도 하남시 덕풍동,중상사고,0,1,1,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,65세,상해없음,승용,여,33세,중상
2020011300100343,2020년 1월 13일 16시,월요일,경기도 용인시 수지구 풍덕천동,경상사고,0,0,2,0,차량단독 - 공작물충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로부근,승합,남,58세,상해없음,,,,
2020011300100506,2020년 1월 13일 20시,월요일,경기도 수원시 장안구 송죽동,경상사고,0,0,2,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,73세,상해없음,보행자,여,39세,경상
2020011400100195,2020년 1월 14일 11시,화요일,경기도 안성시 인지동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,화물,남,58세,상해없음,보행자,여,12세,중상
2020011400100231,2020년 1월 14일 12시,화요일,경기도 수원시 팔달구 신풍동,경상사고,0,0,3,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,38세,상해없음,승용,남,48세,경상
2020011400100234,2020년 1월 14일 12시,화요일,경기도 안양시 동안구 평촌동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,12세,경상,승용,여,52세,상해없음
2020011400100344,2020년 1월 14일 15시,화요일,경기도 하남시 망월동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,10세,중상,승용,여,46세,상해없음
2020011400100374,2020년 1월 14일 16시,화요일,경기도 시흥시 대야동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,단일로 - 기타,승합,남,31세,상해없음,보행자,남,11세,경상
2020011400100405,2020년 1월 14일 17시,화요일,경기도 시흥시 정왕동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,원동기,남,48세,상해없음,자전거,남,7세,중상
2020011400100452,2020년 1월 14일 18시,화요일,경기도 화성시 장안면,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,60세,상해없음,승용,여,32세,경상
2020011500100149,2020년 1월 15일 10시,수요일,경기도 이천시 백사면,경상사고,0,0,3,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,60세,상해없음,승용,남,66세,경상
2020011500100350,2020년 1월 15일 15시,수요일,경기도 남양주시 이패동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,50세,상해없음,승용,여,45세,경상
2020011500100395,2020년 1월 15일 17시,수요일,경기도 군포시 금정동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,56세,상해없음,보행자,여,12세,경상
2020011500100396,2020년 1월 15일 17시,수요일,경기도 시흥시 정왕동,경상사고,0,0,2,1,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,53세,상해없음,승용,여,43세,경상
2020011500100445,2020년 1월 15일 18시,수요일,경기도 성남시 중원구 금광동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,30세,상해없음,승용,남,58세,경상
2020011500100545,2020년 1월 15일 20시,수요일,경기도 안성시 공도읍,부상신고사고,0,0,0,1,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,이륜,남,43세,상해없음,보행자,남,10세,부상신고
2020011500100607,2020년 1월 15일 22시,수요일,경기도 성남시 중원구 하대원동,경상사고,0,0,3,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,69세,상해없음,승용,남,54세,경상
2020011600100149,2020년 1월 16일 10시,목요일,경기도 시흥시 정왕동,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,31세,상해없음,승용,남,47세,경상
2020011600100151,2020년 1월 16일 10시,목요일,경기도 화성시 산척동,경상사고,0,0,3,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,26세,상해없음,승용,여,42세,경상
2020011600100187,2020년 1월 16일 11시,목요일,경기도 광주시 곤지암읍,중상사고,0,5,0,3,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,25세,상해없음,승용,여,46세,중상
2020011600100207,2020년 1월 16일 11시,목요일,경기도 고양시 덕양구 행신동,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,기타,맑음,교차로 - 교차로안,화물,남,52세,상해없음,승용,남,37세,경상
2020011600100221,2020년 1월 16일 12시,목요일,경기도 안산시 상록구 일동,경상사고,0,0,5,1,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,53세,경상,승용,남,63세,경상
2020011600100316,2020년 1월 16일 15시,목요일,경기도 수원시 영통구 영통동,중상사고,0,1,4,0,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,여,56세,상해없음,,,,
2020011600100319,2020년 1월 16일 15시,목요일,경기도 용인시 기흥구 상갈동,중상사고,0,1,8,3,차대차 - 추돌,안전거리미확보,건조,맑음,기타 - 기타,승용,여,48세,경상,승용,남,28세,경상
2020011600100489,2020년 1월 16일 18시,목요일,경기도 포천시 신북면,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,59세,상해없음,승용,남,50세,경상
2020011600100505,2020년 1월 16일 19시,목요일,경기도 안산시 단원구 선부동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,54세,상해없음,보행자,남,11세,경상
2020011700100130,2020년 1월 17일 09시,금요일,경기도 군포시 당동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,63세,상해없음,화물,남,35세,상해없음
2020011700100151,2020년 1월 17일 10시,금요일,경기도 화성시 봉담읍,경상사고,0,0,5,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로부근,승용,남,60세,상해없음,승용,남,42세,경상
2020011700100261,2020년 1월 17일 14시,금요일,경기도 화성시 반송동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,52세,상해없음,보행자,여,8세,중상
2020011700100325,2020년 1월 17일 15시,금요일,경기도 양주시 백석읍,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,여,58세,상해없음,승용,여,31세,경상
2020011700100379,2020년 1월 17일 17시,금요일,경기도 용인시 수지구 상현동,경상사고,0,0,1,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,70세,상해없음,승용,여,40세,경상
2020011700100425,2020년 1월 17일 18시,금요일,경기도 성남시 수정구 금토동,경상사고,0,0,4,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,63세,경상,승용,여,55세,상해없음
2020011800100106,2020년 1월 18일 08시,토요일,경기도 성남시 분당구 야탑동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승합,남,64세,상해없음,승용,여,43세,경상
2020011800100183,2020년 1월 18일 11시,토요일,경기도 의왕시 포일동,경상사고,0,0,4,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,55세,경상,승용,남,30세,경상
2020011800100218,2020년 1월 18일 12시,토요일,경기도 화성시 향남읍,경상사고,0,0,9,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,42세,경상,승용,여,57세,경상
2020011800100258,2020년 1월 18일 13시,토요일,경기도 광주시 장지동,경상사고,0,0,4,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,38세,경상,화물,남,41세,경상
2020011800100322,2020년 1월 18일 14시,토요일,경기도 고양시 일산동구 중산동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,56세,상해없음,승용,여,38세,경상
2020011800100362,2020년 1월 18일 16시,토요일,경기도 수원시 장안구 송죽동,경상사고,0,0,5,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,49세,상해없음,승용,여,37세,경상
2020011900100030,2020년 1월 19일 01시,일요일,경기도 남양주시 와부읍,경상사고,0,0,3,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,43세,상해없음,승용,여,43세,경상
2020011900100042,2020년 1월 19일 03시,일요일,경기도 안양시 동안구 관양동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,32세,상해없음,승용,남,31세,경상
2020011900100136,2020년 1월 19일 11시,일요일,경기도 성남시 분당구 수내동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,12세,경상,승용,남,55세,상해없음
