,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
34,2020032200100167,2020년 3월 22일 13시,일요일,경기도 오산시 궐동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,36세,상해없음,자전거,여,12세,경상
35,2020032400100379,2020년 3월 24일 17시,화요일,경기도 평택시 동삭동,경상사고,0,0,1,0,차대차 - 기타,기타,건조,맑음,기타 - 기타,기타불명,기타불명,미분류,기타불명,자전거,남,11세,경상
36,2020032400100482,2020년 3월 24일 19시,화요일,경기도 고양시 덕양구 화정동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,45세,상해없음,자전거,남,12세,중상
37,2020032600100209,2020년 3월 26일 12시,목요일,경기도 파주시 맥금동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,건조,맑음,단일로 - 기타,승용,여,72세,상해없음,자전거,남,11세,경상
38,2020032600100255,2020년 3월 26일 15시,목요일,경기도 평택시 용이동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,남,70세,상해없음,자전거,남,10세,경상
39,2020032700100144,2020년 3월 27일 10시,금요일,경기도 성남시 분당구 수내동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,34세,상해없음,보행자,여,12세,중상
41,2020040200100242,2020년 4월 2일 13시,목요일,경기도 용인시 기흥구 언남동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,72세,상해없음,자전거,남,12세,경상
42,2020040300100191,2020년 4월 3일 12시,금요일,경기도 김포시 풍무동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,이륜,남,55세,상해없음,자전거,남,11세,중상
43,2020040300100319,2020년 4월 3일 16시,금요일,경기도 성남시 분당구 이매동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,자전거,남,64세,상해없음,자전거,여,10세,중상
44,2020040400100302,2020년 4월 4일 14시,토요일,경기도 남양주시 별내면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,44세,상해없음,자전거,남,10세,경상
45,2020040500100343,2020년 4월 5일 19시,일요일,경기도 여주시 하동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로안,승합,남,64세,상해없음,보행자,남,12세,경상
47,2020040700100516,2020년 4월 7일 21시,화요일,경기도 남양주시 화도읍,부상신고사고,0,0,0,1,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,43세,상해없음,자전거,남,11세,부상신고
48,2020040800100254,2020년 4월 8일 13시,수요일,경기도 수원시 권선구 고색동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,53세,상해없음,자전거,남,11세,경상
49,2020040900100427,2020년 4월 9일 17시,목요일,경기도 동두천시 지행동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,62세,상해없음,자전거,남,12세,경상
50,2020041000100242,2020년 4월 10일 12시,금요일,경기도 남양주시 와부읍,중상사고,0,1,0,0,차대사람 - 기타,기타,건조,맑음,교차로 - 교차로부근,특수,남,47세,상해없음,보행자,남,11세,중상
51,2020041200100231,2020년 4월 12일 15시,일요일,경기도 이천시 중리동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,52세,상해없음,자전거,남,10세,중상
52,2020041300100514,2020년 4월 13일 20시,월요일,경기도 용인시 기흥구 서천동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,66세,상해없음,자전거,남,11세,경상
53,2020041400100464,2020년 4월 14일 18시,화요일,경기도 남양주시 퇴계원면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,남,35세,상해없음,자전거,남,11세,경상
54,2020041500100271,2020년 4월 15일 15시,수요일,경기도 안산시 단원구 고잔동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,51세,상해없음,보행자,남,11세,중상
55,2020041500100320,2020년 4월 15일 16시,수요일,경기도 남양주시 화도읍,경상사고,0,0,2,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,개인형이동수단(PM),여,25세,경상,보행자,남,12세,경상
56,2020041600100358,2020년 4월 16일 17시,목요일,경기도 파주시 동패동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,44세,상해없음,자전거,남,11세,경상
57,2020041800100270,2020년 4월 18일 14시,토요일,경기도 용인시 처인구 역북동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,기타불명,기타불명,미분류,기타불명,보행자,남,10세,경상
58,2020042700100325,2020년 4월 27일 15시,월요일,경기도 안성시 공도읍,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승합,여,45세,상해없음,보행자,여,11세,경상
59,2020042800100268,2020년 4월 28일 13시,화요일,경기도 하남시 망월동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,39세,상해없음,자전거,남,10세,경상
60,2020042800100412,2020년 4월 28일 16시,화요일,경기도 고양시 덕양구 화정동,중상사고,0,1,0,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,30세,상해없음,자전거,남,12세,중상
61,2020042900100292,2020년 4월 29일 14시,수요일,경기도 용인시 수지구 죽전동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,48세,상해없음,보행자,여,10세,경상
62,2020042900100326,2020년 4월 29일 15시,수요일,경기도 수원시 장안구 영화동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,여,65세,상해없음,자전거,남,10세,중상
63,2020050400100534,2020년 5월 4일 18시,월요일,경기도 동두천시 지행동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,38세,상해없음,보행자,남,10세,중상
64,2020050500100245,2020년 5월 5일 16시,화요일,경기도 안양시 동안구 관양동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,40세,상해없음,보행자,여,11세,중상
65,2020050600100513,2020년 5월 6일 18시,수요일,경기도 수원시 권선구 탑동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,59세,상해없음,보행자,남,10세,중상
66,2020050800100384,2020년 5월 8일 16시,금요일,경기도 파주시 금촌동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,원동기,남,19세,상해없음,자전거,남,12세,경상
67,2020051100100391,2020년 5월 11일 15시,월요일,경기도 이천시 호법면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,65세,상해없음,자전거,남,12세,경상
68,2020051100100581,2020년 5월 11일 20시,월요일,경기도 하남시 망월동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로횡단보도내,이륜,남,37세,상해없음,자전거,남,11세,경상
69,2020051300100404,2020년 5월 13일 16시,수요일,경기도 과천시 별양동,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,49세,상해없음,자전거,남,11세,경상
70,2020051400100331,2020년 5월 14일 15시,목요일,경기도 성남시 중원구 하대원동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,54세,상해없음,자전거,남,12세,경상
71,2020051400100364,2020년 5월 14일 16시,목요일,경기도 수원시 장안구 파장동,경상사고,0,0,1,0,차대차 - 기타,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,여,42세,상해없음,자전거,남,12세,경상
72,2020051400100366,2020년 5월 14일 16시,목요일,경기도 이천시 증포동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,기타 - 기타,이륜,남,29세,상해없음,자전거,남,12세,중상
73,2020051400100402,2020년 5월 14일 17시,목요일,경기도 안산시 단원구 선부동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,자전거,남,11세,부상신고
74,2020051600100361,2020년 5월 16일 16시,토요일,경기도 의정부시 의정부동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,76세,상해없음,자전거,남,10세,경상
76,2020052100100520,2020년 5월 21일 18시,목요일,경기도 파주시 아동동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,55세,상해없음,보행자,남,11세,부상신고
77,2020052200100475,2020년 5월 22일 17시,금요일,경기도 동두천시 지행동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,남,60세,상해없음,자전거,남,11세,경상
78,2020052300100268,2020년 5월 23일 13시,토요일,경기도 성남시 중원구 도촌동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,원동기,남,50세,상해없음,자전거,남,12세,중상
79,2020052500100278,2020년 5월 25일 13시,월요일,경기도 양주시 마전동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,66세,기타불명,보행자,남,11세,경상
80,2020052500100401,2020년 5월 25일 17시,월요일,경기도 화성시 봉담읍,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,58세,상해없음,보행자,남,10세,경상
81,2020052600100446,2020년 5월 26일 18시,화요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,기타,맑음,교차로 - 교차로안,승용,여,56세,상해없음,보행자,여,11세,경상
82,2020052800100234,2020년 5월 28일 11시,목요일,경기도 남양주시 별내동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로안,화물,남,61세,상해없음,보행자,남,10세,중상
83,2020052900100344,2020년 5월 29일 14시,금요일,경기도 평택시 오성면,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,60세,상해없음,보행자,여,12세,중상
84,2020053100100309,2020년 5월 31일 16시,일요일,경기도 파주시 문발동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,37세,상해없음,자전거,남,11세,경상
86,2020060100100657,2020년 6월 1일 20시,월요일,경기도 남양주시 오남읍,경상사고,0,0,1,0,차대차 - 추돌,교차로운행방법위반,건조,맑음,교차로 - 교차로부근,화물,남,44세,상해없음,자전거,남,11세,경상
88,2020060400100434,2020년 6월 4일 17시,목요일,경기도 안산시 상록구 본오동,경상사고,0,0,2,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,59세,상해없음,보행자,남,12세,경상
89,2020060500100306,2020년 6월 5일 13시,금요일,경기도 남양주시 호평동,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,여,60세,상해없음,자전거,남,12세,경상
90,2020060500100324,2020년 6월 5일 14시,금요일,경기도 안산시 단원구 선감동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,58세,상해없음,보행자,남,10세,중상
91,2020060500100516,2020년 6월 5일 18시,금요일,경기도 안산시 상록구 이동,사망사고,1,0,0,0,차대차 - 기타,신호위반,건조,맑음,단일로 - 기타,승용,남,24세,상해없음,자전거,남,11세,사망
92,2020060600100454,2020년 6월 6일 18시,토요일,경기도 성남시 수정구 신흥동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,교차로 - 교차로안,이륜,남,21세,기타불명,보행자,남,11세,경상
93,2020060700100430,2020년 6월 7일 19시,일요일,경기도 시흥시 미산동,부상신고사고,0,0,0,1,차대차 - 측면충돌,기타,건조,맑음,단일로 - 기타,승용,남,49세,상해없음,자전거,남,11세,부상신고
94,2020060700100457,2020년 6월 7일 20시,일요일,경기도 성남시 중원구 성남동,중상사고,0,1,1,0,차대사람 - 보도통행중,보행자보호의무위반,건조,맑음,단일로 - 기타,이륜,남,28세,상해없음,보행자,남,12세,중상
95,2020060800100395,2020년 6월 8일 15시,월요일,경기도 광주시 쌍령동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,38세,상해없음,보행자,남,11세,중상
96,2020060800100444,2020년 6월 8일 16시,월요일,경기도 시흥시 정왕동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,46세,상해없음,자전거,남,10세,경상
97,2020060800100484,2020년 6월 8일 17시,월요일,경기도 수원시 장안구 정자동,부상신고사고,0,0,0,2,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,자전거,여,11세,부상신고,자전거,남,11세,부상신고
98,2020060800100522,2020년 6월 8일 17시,월요일,경기도 남양주시 평내동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,여,44세,상해없음,자전거,남,11세,경상
99,2020060900100310,2020년 6월 9일 13시,화요일,경기도 화성시 송동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,31세,상해없음,보행자,여,10세,경상
100,2020061100100437,2020년 6월 11일 17시,목요일,경기도 안산시 상록구 본오동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,33세,상해없음,보행자,여,10세,경상
101,2020061200100534,2020년 6월 12일 18시,금요일,경기도 의정부시 가능동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,기타 - 기타,화물,남,55세,상해없음,자전거,남,11세,경상
102,2020061300100171,2020년 6월 13일 09시,토요일,경기도 동두천시 송내동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,57세,상해없음,자전거,남,12세,경상
104,2020061400100369,2020년 6월 14일 18시,일요일,경기도 안산시 상록구 사동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,48세,상해없음,보행자,여,11세,경상
105,2020061500100620,2020년 6월 15일 20시,월요일,경기도 안산시 단원구 선부동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,기타불명,기타불명,미분류,기타불명,보행자,남,12세,부상신고
106,2020061600100551,2020년 6월 16일 19시,화요일,경기도 용인시 수지구 성복동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,단일로 - 기타,승용,여,51세,상해없음,보행자,남,11세,경상
108,2020061700100502,2020년 6월 17일 19시,수요일,경기도 이천시 중리동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,33세,상해없음,자전거,남,12세,중상
109,2020062100100339,2020년 6월 21일 16시,일요일,경기도 포천시 이동면,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,79세,상해없음,보행자,여,11세,경상
110,2020062100100409,2020년 6월 21일 18시,일요일,경기도 구리시 갈매동,중상사고,0,1,0,0,차대사람 - 차도통행중,기타,건조,맑음,단일로 - 기타,이륜,남,46세,상해없음,보행자,남,11세,중상
112,2020062300100250,2020년 6월 23일 11시,화요일,경기도 용인시 기흥구 중동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,33세,상해없음,자전거,남,11세,중상
113,2020062300100597,2020년 6월 23일 20시,화요일,경기도 안산시 단원구 원곡동,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,23세,상해없음,자전거,남,11세,경상
114,2020062600100565,2020년 6월 26일 19시,금요일,경기도 성남시 분당구 야탑동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,기타 - 기타,자전거,여,53세,상해없음,자전거,남,11세,경상
115,2020062900100304,2020년 6월 29일 15시,월요일,경기도 평택시 용이동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,41세,상해없음,자전거,남,10세,중상
116,2020062900100442,2020년 6월 29일 18시,월요일,경기도 안산시 단원구 고잔동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,54세,상해없음,자전거,남,11세,경상
117,2020063000100523,2020년 6월 30일 20시,화요일,경기도 남양주시 진접읍,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,49세,상해없음,보행자,여,11세,경상
118,2020070100100333,2020년 7월 1일 15시,수요일,경기도 남양주시 퇴계원면,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,49세,상해없음,자전거,남,12세,중상
119,2020070100100424,2020년 7월 1일 18시,수요일,경기도 시흥시 매화동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,주차장 - 주차장,승용,남,25세,상해없음,보행자,남,10세,경상
120,2020070200100364,2020년 7월 2일 15시,목요일,경기도 양주시 삼숭동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,46세,상해없음,자전거,남,11세,경상
121,2020070200100531,2020년 7월 2일 20시,목요일,경기도 평택시 지산동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,54세,상해없음,개인형이동수단(PM),남,11세,경상
122,2020070300100274,2020년 7월 3일 13시,금요일,경기도 하남시 신장동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,60세,상해없음,보행자,여,12세,경상
124,2020070400100496,2020년 7월 4일 18시,토요일,경기도 수원시 장안구 정자동,부상신고사고,0,0,0,1,차대사람 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,39세,상해없음,보행자,여,11세,부상신고
125,2020070400100516,2020년 7월 4일 18시,토요일,경기도 포천시 소흘읍,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,72세,상해없음,자전거,남,10세,경상
126,2020070500100381,2020년 7월 5일 19시,일요일,경기도 의정부시 호원동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,23세,상해없음,보행자,남,11세,중상
127,2020070600100443,2020년 7월 6일 18시,월요일,경기도 평택시 서정동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,50세,상해없음,자전거,남,11세,경상
128,2020070700100182,2020년 7월 7일 11시,화요일,경기도 평택시 서정동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,51세,상해없음,보행자,남,10세,경상
129,2020070700100384,2020년 7월 7일 17시,화요일,경기도 김포시 걸포동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승합,남,54세,상해없음,자전거,남,10세,경상
130,2020070900100417,2020년 7월 9일 16시,목요일,경기도 오산시 내삼미동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,63세,상해없음,보행자,여,10세,중상
