,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,어린이보호구역
31,2.01701E+15,2017년 1월 18일 16시,수요일,경기도 용인시 기흥구 중동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승합,남,53세,상해없음,보행자,남,6,중상,0
32,2.01701E+15,2017년 1월 18일 18시,수요일,경기도 성남시 중원구 도촌동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,56세,상해없음,보행자,여,12,중상,0
33,2.01701E+15,2017년 1월 19일 16시,목요일,경기도 과천시 별양동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,40세,상해없음,자전거,남,9,경상,0
34,2.01701E+15,2017년 1월 20일 11시,금요일,경기도 안양시 동안구 관양동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로안,승용,남,25세,상해없음,보행자,여,5,중상,0
35,2.01701E+15,2017년 1월 20일 15시,금요일,경기도 안성시 숭인동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,39세,상해없음,보행자,남,5,경상,0
36,2.01701E+15,2017년 1월 22일 15시,일요일,경기도 부천시 중동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,66세,상해없음,보행자,남,6,중상,0
37,2.01701E+15,2017년 1월 23일 02시,월요일,경기도 의정부시 가능동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,39세,상해없음,보행자,여,8,경상,0
38,2.01701E+15,2017년 1월 23일 14시,월요일,경기도 광명시 소하동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로부근,화물,남,53세,상해없음,보행자,남,12,중상,0
39,2.01701E+15,2017년 1월 23일 15시,월요일,경기도 파주시 금촌동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로부근,원동기,남,16세,상해없음,보행자,여,10,경상,0
40,2.01701E+15,2017년 1월 23일 17시,월요일,경기도 수원시 장안구 천천동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,여,32세,상해없음,보행자,남,9,경상,0
41,2.01701E+15,2017년 1월 24일 11시,화요일,경기도 안산시 단원구 선부동,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승합,남,58세,상해없음,보행자,남,7,부상신고,0
42,2.01701E+15,2017년 1월 24일 14시,화요일,경기도 고양시 덕양구 성사동,경상사고,0,0,1,0,차대차 - 기타,중앙선침범,건조,맑음,교차로 - 교차로안,승용,남,61세,상해없음,자전거,남,8,경상,1
43,2.01701E+15,2017년 1월 24일 16시,화요일,경기도 성남시 분당구 수내동,중상사고,0,1,0,0,차대사람 - 차도통행중,기타,건조,흐림,단일로 - 기타,승용,여,29세,상해없음,보행자,남,9,중상,1
44,2.01701E+15,2017년 1월 25일 13시,수요일,경기도 시흥시 정왕동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,36세,상해없음,보행자,여,9,중상,0
45,2.01701E+15,2017년 1월 25일 17시,수요일,경기도 광주시 곤지암읍,중상사고,0,1,0,0,차대사람 - 횡단중,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,55세,상해없음,보행자,남,10,중상,0
46,2.01701E+15,2017년 1월 26일 12시,목요일,경기도 김포시 통진읍,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,32세,기타불명,보행자,남,8,경상,0
47,2.01701E+15,2017년 1월 26일 16시,목요일,경기도 수원시 장안구 연무동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,51세,상해없음,보행자,남,9,경상,0
48,2.01701E+15,2017년 1월 26일 18시,목요일,경기도 평택시 서정동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,기타불명,기타불명,미분류,기타불명,보행자,남,11,경상,0
49,2.01701E+15,2017년 1월 28일 10시,토요일,경기도 안성시 보개면,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,35세,상해없음,보행자,여,12,중상,0
50,2.01701E+15,2017년 1월 29일 10시,일요일,경기도 안산시 단원구 대부북동,경상사고,0,0,1,0,차대차 - 정면충돌,신호위반,건조,맑음,교차로 - 교차로부근,승용,여,64세,상해없음,자전거,남,11,경상,0
51,2.01701E+15,2017년 1월 29일 13시,일요일,경기도 평택시 지산동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,51세,상해없음,보행자,남,9,중상,0
52,2.01701E+15,2017년 1월 29일 22시,일요일,경기도 이천시 창전동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,20세,상해없음,보행자,남,7,경상,0
53,2.01701E+15,2017년 1월 30일 14시,월요일,경기도 파주시 금촌동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,여,57세,상해없음,보행자,남,7,경상,0
54,2.01701E+15,2017년 1월 31일 17시,화요일,경기도 용인시 처인구 포곡읍,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,54세,상해없음,보행자,남,8,경상,0
55,2.01702E+15,2017년 2월 1일 13시,수요일,경기도 부천시 중동,경상사고,0,0,2,0,차대사람 - 횡단중,신호위반,건조,맑음,단일로 - 기타,원동기,남,16세,경상,보행자,남,7,경상,0
56,2.01702E+15,2017년 2월 1일 16시,수요일,경기도 안산시 단원구 와동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,58세,상해없음,보행자,남,8,경상,0
57,2.01702E+15,2017년 2월 1일 17시,수요일,경기도 광명시 광명동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,여,63세,상해없음,보행자,여,8,경상,0
58,2.01702E+15,2017년 2월 2일 13시,목요일,경기도 성남시 분당구 서현동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,여,48세,상해없음,보행자,남,7,중상,1
59,2.01702E+15,2017년 2월 2일 16시,목요일,경기도 수원시 장안구 조원동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,70세,상해없음,보행자,여,11,중상,0
60,2.01702E+15,2017년 2월 4일 12시,토요일,경기도 성남시 수정구 수진동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,35세,상해없음,보행자,남,4,중상,0
61,2.01702E+15,2017년 2월 5일 11시,일요일,경기도 화성시 반송동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 기타,승용,여,40세,상해없음,자전거,남,11,경상,0
62,2.01702E+15,2017년 2월 7일 14시,화요일,경기도 양주시 옥정동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,40세,상해없음,보행자,남,9,중상,0
63,2.01702E+15,2017년 2월 7일 15시,화요일,경기도 광주시 목현동,부상신고사고,0,0,0,1,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,73세,상해없음,보행자,남,7,부상신고,0
64,2.01702E+15,2017년 2월 7일 15시,화요일,경기도 수원시 권선구 탑동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,63세,상해없음,보행자,남,9,중상,0
65,2.01702E+15,2017년 2월 7일 16시,화요일,경기도 화성시 병점동,중상사고,0,1,0,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,여,37세,상해없음,보행자,남,12,중상,0
66,2.01702E+15,2017년 2월 7일 20시,화요일,경기도 의정부시 의정부동,경상사고,0,0,1,0,차대차 - 정면충돌,불법유턴,건조,맑음,단일로 - 기타,승용,남,19세,상해없음,승용,남,9,경상,0
67,2.01702E+15,2017년 2월 9일 13시,목요일,경기도 수원시 팔달구 남수동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,기타 - 기타,승용,여,61세,상해없음,보행자,남,9,경상,0
68,2.01702E+15,2017년 2월 9일 14시,목요일,경기도 남양주시 와부읍,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,61세,상해없음,보행자,여,8,중상,0
69,2.01702E+15,2017년 2월 10일 10시,금요일,경기도 동두천시 생연동,사망사고,1,0,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,53세,상해없음,보행자,남,8,사망,0
70,2.01702E+15,2017년 2월 11일 13시,토요일,경기도 성남시 분당구 야탑동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,남,9,경상,0
71,2.01702E+15,2017년 2월 11일 14시,토요일,경기도 시흥시 능곡동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,여,35세,상해없음,보행자,남,3,중상,0
72,2.01702E+15,2017년 2월 11일 14시,토요일,경기도 고양시 일산동구 장항동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,교차로 - 교차로부근,승용,남,83세,상해없음,보행자,여,12,경상,0
73,2.01702E+15,2017년 2월 11일 17시,토요일,경기도 부천시 중동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,54세,상해없음,보행자,여,2,경상,0
74,2.01702E+15,2017년 2월 14일 13시,화요일,경기도 수원시 장안구 연무동,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,33세,상해없음,보행자,여,12,부상신고,0
75,2.01702E+15,2017년 2월 15일 17시,수요일,경기도 용인시 기흥구 마북동,중상사고,0,1,0,0,차대사람 - 차도통행중,보행자보호의무위반,건조,맑음,교차로 - 교차로부근,승합,여,43세,상해없음,보행자,남,8,중상,0
76,2.01702E+15,2017년 2월 15일 18시,수요일,경기도 광주시 오포읍,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로부근,승용,남,29세,상해없음,보행자,남,7,중상,0
77,2.01702E+15,2017년 2월 16일 18시,목요일,경기도 평택시 청북읍,경상사고,0,0,2,0,차대사람 - 횡단중,기타,건조,맑음,교차로 - 교차로횡단보도내,승용,여,64세,상해없음,보행자,여,9,경상,0
78,2.01702E+15,2017년 2월 16일 18시,목요일,경기도 김포시 고촌읍,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,42세,상해없음,보행자,여,11,경상,0
79,2.01702E+15,2017년 2월 16일 20시,목요일,경기도 부천시 송내동,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,43세,상해없음,자전거,남,8,경상,0
80,2.01702E+15,2017년 2월 17일 17시,금요일,경기도 고양시 일산서구 탄현동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,24세,상해없음,보행자,남,5,중상,0
81,2.01702E+15,2017년 2월 18일 19시,토요일,경기도 하남시 덕풍동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,53세,상해없음,자전거,남,9,경상,0
82,2.01702E+15,2017년 2월 19일 11시,일요일,경기도 성남시 중원구 금광동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,52세,상해없음,보행자,남,8,경상,0
83,2.01702E+15,2017년 2월 20일 13시,월요일,경기도 고양시 덕양구 내유동,경상사고,0,0,1,0,차대사람 - 횡단중,중앙선침범,건조,맑음,단일로 - 기타,이륜,남,22세,상해없음,보행자,남,11,경상,0
84,2.01702E+15,2017년 2월 20일 19시,월요일,경기도 군포시 당동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,46세,상해없음,보행자,여,9,중상,1
85,2.01702E+15,2017년 2월 21일 15시,화요일,경기도 하남시 신장동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,48세,상해없음,보행자,남,3,경상,0
86,2.01702E+15,2017년 2월 21일 16시,화요일,경기도 부천시 원종동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,19세,상해없음,보행자,남,10,경상,0
87,2.01702E+15,2017년 2월 21일 16시,화요일,경기도 남양주시 호평동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,59세,상해없음,보행자,여,8,경상,0
88,2.01702E+15,2017년 2월 22일 15시,수요일,경기도 부천시 역곡동,경상사고,0,0,1,0,차대사람 - 차도통행중,신호위반,젖음/습기,비,교차로 - 교차로안,이륜,남,17세,상해없음,보행자,남,8,경상,0
89,2.01702E+15,2017년 2월 23일 09시,목요일,경기도 부천시 역곡동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,화물,남,72세,상해없음,보행자,남,8,경상,0
90,2.01702E+15,2017년 2월 23일 13시,목요일,경기도 광명시 철산동,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,39세,상해없음,보행자,남,7,부상신고,0
91,2.01702E+15,2017년 2월 24일 17시,금요일,경기도 파주시 법원읍,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,60세,상해없음,보행자,남,6,경상,0
92,2.01702E+15,2017년 2월 24일 18시,금요일,경기도 수원시 영통구 망포동,부상신고사고,0,0,0,1,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승합,남,51세,상해없음,보행자,남,10,부상신고,0
93,2.01702E+15,2017년 2월 26일 17시,일요일,경기도 의왕시 삼동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,28세,상해없음,보행자,남,7,중상,0
94,2.01702E+15,2017년 2월 28일 17시,화요일,경기도 이천시 창전동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,80세,상해없음,보행자,남,6,경상,0
95,2.01702E+15,2017년 2월 28일 20시,화요일,경기도 부천시 소사본동,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,31세,상해없음,보행자,남,7,경상,0
96,2.01702E+15,2017년 2월 28일 21시,화요일,경기도 군포시 부곡동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,52세,상해없음,자전거,남,11,경상,0
97,2.01702E+15,2017년 2월 28일 22시,화요일,경기도 김포시 풍무동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,55세,상해없음,보행자,여,6,경상,0
98,2.01703E+15,2017년 3월 1일 19시,수요일,경기도 김포시 대곶면,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,기타,비,단일로 - 기타,승용,남,25세,상해없음,보행자,여,12,경상,0
99,2.01703E+15,2017년 3월 2일 11시,목요일,경기도 고양시 일산서구 탄현동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,39세,상해없음,보행자,남,5,부상신고,0
100,2.01703E+15,2017년 3월 2일 14시,목요일,경기도 성남시 수정구 창곡동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,기타불명,기타불명,미분류,기타불명,보행자,남,12,경상,0
101,2.01703E+15,2017년 3월 3일 15시,금요일,경기도 광주시 탄벌동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,49세,상해없음,보행자,남,8,경상,0
102,2.01703E+15,2017년 3월 3일 18시,금요일,경기도 평택시 포승읍,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51세,상해없음,보행자,여,6,중상,0
103,2.01703E+15,2017년 3월 3일 19시,금요일,경기도 성남시 중원구 성남동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,60세,상해없음,보행자,남,1,중상,0
104,2.01703E+15,2017년 3월 4일 12시,토요일,경기도 수원시 장안구 정자동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,31세,상해없음,보행자,남,5,중상,0
105,2.01703E+15,2017년 3월 4일 13시,토요일,경기도 성남시 분당구 서현동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,남,27세,상해없음,보행자,여,6,중상,0
106,2.01703E+15,2017년 3월 4일 13시,토요일,경기도 고양시 일산서구 덕이동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,43세,상해없음,자전거,남,10,경상,0
107,2.01703E+15,2017년 3월 4일 16시,토요일,경기도 안양시 동안구 비산동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,기타 - 기타,자전거,남,47세,상해없음,보행자,남,11,경상,0
108,2.01703E+15,2017년 3월 5일 18시,일요일,경기도 안양시 동안구 호계동,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,29세,상해없음,자전거,남,9,경상,0
109,2.01703E+15,2017년 3월 5일 22시,일요일,경기도 수원시 권선구 세류동,경상사고,0,0,3,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,37세,상해없음,보행자,여,7,경상,0
110,2.01703E+15,2017년 3월 6일 14시,월요일,경기도 평택시 이충동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,62세,상해없음,보행자,여,8,경상,1
111,2.01703E+15,2017년 3월 6일 15시,월요일,경기도 오산시 금암동,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승합,남,54세,상해없음,보행자,남,9,부상신고,0
112,2.01703E+15,2017년 3월 6일 18시,월요일,경기도 오산시 원동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,48세,상해없음,보행자,여,12,중상,0
113,2.01703E+15,2017년 3월 7일 16시,화요일,경기도 군포시 당동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,흐림,단일로 - 기타,승용,여,60세,상해없음,보행자,남,7,중상,0
114,2.01703E+15,2017년 3월 7일 16시,화요일,경기도 군포시 산본동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,화물,여,51세,상해없음,보행자,여,7,경상,0
115,2.01703E+15,2017년 3월 7일 16시,화요일,경기도 양주시 삼숭동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,42세,상해없음,보행자,여,11,경상,0
